user_id,recomendations
1,"[1082185, 995242, 840361, 940947, 5978656]"
2,"[1133018, 1106523, 8090521, 951590, 5569230]"
3,"[1082185, 938700, 1106523, 1133018, 951590]"
4,"[1029743, 883404, 962229, 5569230, 883932]"
5,"[874972, 5568378, 1096036, 1126899, 1071939]"
6,"[1082185, 845208, 849843, 1037863, 5569230]"
7,"[1082185, 1013321, 1133018, 1106523, 961554]"
8,"[1082185, 5569230, 840361, 862349, 1133018]"
9,"[1029743, 849843, 8090521, 962229, 1070820]"
10,"[1082185, 6534178, 899624, 1106523, 1041259]"
11,"[1082185, 6534178, 995242, 908318, 1005186]"
12,"[862349, 1056509, 981760, 1055863, 866211]"
13,"[6534178, 1029743, 995242, 951590, 923746]"
14,"[1029743, 6534178, 951590, 1022003, 981760]"
15,"[1082185, 1029743, 995242, 923746, 1070820]"
16,"[1082185, 6534178, 995242, 1029743, 1133018]"
17,"[1082185, 6534178, 995242, 857849, 849843]"
18,"[1082185, 995242, 6533889, 840361, 976199]"
19,"[6534178, 995242, 1029743, 1106523, 962229]"
20,"[6534178, 840361, 883404, 1058997, 6533765]"
21,"[1029743, 6534178, 896369, 1106523, 6533765]"
22,"[1082185, 6534178, 862349, 1070820, 5978656]"
23,"[6534178, 1029743, 995242, 951590, 981760]"
24,"[883404, 1133018, 1106523, 1092026, 908531]"
25,"[1082185, 1029743, 995242, 8090521, 1106523]"
26,"[1029743, 1013321, 995242, 907014, 857849]"
27,"[1082185, 5978656, 833025, 1076056, 847982]"
28,"[6534178, 940947, 903325, 1075368, 1065593]"
29,"[1029743, 995242, 883404, 5568378, 5569327]"
30,"[6534178, 923746, 1106523, 909714, 903325]"
31,"[6534178, 1070820, 1058997, 5978656, 1126899]"
32,"[6534178, 862349, 1058997, 840361, 6034857]"
33,"[6534178, 8090537, 871756, 1106523, 6533765]"
34,"[6534178, 883404, 6533765, 999971, 1065593]"
35,"[6534178, 1029743, 940947, 862349, 1058997]"
36,"[995242, 1029743, 883404, 962229, 826249]"
37,"[8090537, 1106523, 6533889, 1092026, 909714]"
38,"[1082185, 8090521, 868764, 866211, 986912]"
39,"[1082185, 995785, 923746, 883404, 903325]"
40,"[1082185, 6534178, 995242, 840361, 903325]"
41,"[1082185, 849843, 913210, 981760, 1058997]"
42,"[1082185, 923746, 981760, 896369, 961554]"
43,"[6534178, 1133018, 1120741, 994928, 908531]"
44,"[849843, 951590, 981760, 860776, 1026118]"
45,"[8090537, 1106523, 849843, 908531, 1033615]"
46,"[1082185, 1029743, 995242, 981760, 909714]"
47,"[995242, 8090537, 951590, 995785, 826249]"
48,"[1082185, 6534178, 1106523, 8090521, 6533889]"
49,"[1082185, 6534178, 862349, 1070820, 1058997]"
50,"[1133018, 1106523, 962229, 1132770, 908531]"
51,"[1029743, 951590, 962229, 1038217, 981760]"
52,"[1082185, 6534178, 951590, 995785, 5569230]"
53,"[6534178, 1058997, 953476, 5569471, 6034857]"
54,"[1082185, 6534178, 1029743, 995242, 883404]"
55,"[995242, 990797, 871756, 849843, 951590]"
56,"[1082185, 8090537, 5569230, 981760, 940947]"
57,"[6534178, 8090537, 1133018, 995785, 908531]"
58,"[1082185, 6534178, 995785, 862349, 1133018]"
59,"[1133018, 845208, 981760, 995785, 1056509]"
60,"[6534178, 1029743, 1013321, 995785, 909714]"
61,"[1082185, 6534178, 1029743, 995242, 1133018]"
62,"[1082185, 6534178, 1029743, 995242, 883404]"
63,"[1082185, 6534178, 1029743, 995242, 1106523]"
64,"[1133018, 862349, 1106523, 951590, 840361]"
65,"[1029743, 849843, 962229, 1070820, 965766]"
66,"[1029743, 1133018, 8090521, 908531, 1053690]"
67,"[6534178, 1029743, 951590, 862349, 5978656]"
68,"[995242, 6534178, 1029743, 883404, 981760]"
69,"[1133018, 1106523, 951590, 5592931, 981760]"
70,"[1082185, 6534178, 1029743, 995242, 1106523]"
71,"[1029743, 899624, 951590, 1056509, 844179]"
72,"[1082185, 862349, 1070820, 1028816, 5585510]"
73,"[1082185, 6534178, 1070820, 6533889, 826249]"
74,"[1082185, 849843, 1133018, 1106523, 981760]"
75,"[1082185, 1029743, 6534178, 995242, 883404]"
76,"[883404, 1058997, 845208, 6034857, 903325]"
77,"[1082185, 1003188, 981760, 1106523, 908531]"
78,"[1082185, 1003188, 923746, 883404, 981760]"
79,"[1082185, 923746, 862349, 1070820, 6533889]"
80,"[1082185, 995242, 6534178, 849843, 878996]"
81,"[995242, 1029743, 849843, 5592931, 1096036]"
82,"[1082185, 6534178, 1029743, 995242, 874972]"
83,"[1082185, 6534178, 923746, 845208, 840361]"
84,"[1082185, 995242, 951590, 840361, 5569471]"
85,"[6534178, 995242, 961554, 1075368, 1005186]"
86,"[1082185, 995242, 1029743, 951590, 1133018]"
87,"[1082185, 6534178, 995242, 1029743, 979707]"
88,"[6534178, 883404, 981760, 962229, 8090521]"
